protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
extended,Town04,night_rain_fog,4,0,0.0,384.7877197265625,-102.0846176147461,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,1,1.9999944935622493,384.766845703125,-100.08473205566406,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,2,3.999989305870502,384.7459411621094,-98.08484649658203,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,3,5.9999917471565185,384.72503662109375,-96.08495330810547,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,4,7.9999938696977475,384.70416259765625,-94.0850601196289,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,5,9.999996310983764,384.6832580566406,-92.08516693115234,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,6,11.999991123292016,384.662353515625,-90.08528137207031,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,7,13.999993245833245,384.6414794921875,-88.08538818359375,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,8,15.999995687119261,384.6205749511719,-86.08549499511719,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,9,17.999998128405277,384.59967041015625,-84.08560180664062,0.0,90.59859466552734
extended,Town04,night_rain_fog,4,10,20.011450403935516,384.5788879394531,-82.07425689697266,0.0,-269.4549865722656
extended,Town04,night_rain_fog,4,11,22.03409980213862,384.5625,-80.05167388916016,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,12,24.034097442165823,384.54718017578125,-78.0517349243164,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,13,26.034102945357898,384.5318298339844,-76.05178833007812,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,14,28.0341005853851,384.5165100097656,-74.05184936523438,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,15,30.034098225412304,384.5011901855469,-72.05191040039062,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,16,32.034103494610214,384.4858703613281,-70.05196380615234,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,17,34.03410136863248,384.47052001953125,-68.0520248413086,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,18,36.03409900865968,384.4552001953125,-66.05208587646484,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,19,38.03410427785759,384.43988037109375,-64.05213928222656,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,20,40.03410191788479,384.424560546875,-62.05220031738281,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,21,42.03409979190705,384.4092102050781,-60.05226135253906,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,22,44.034097431934256,384.3938903808594,-58.05232238769531,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,23,46.034098886546815,384.3785705566406,-56.0523796081543,0.0,-269.5608825683594
extended,Town04,night_rain_fog,4,24,48.03409294598417,384.36322021484375,-54.05244445800781,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,25,50.03409440059673,384.347900390625,-52.0525016784668,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,26,52.03409585520929,384.33258056640625,-50.05255889892578,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,27,54.03409349523649,384.3172607421875,-48.05261993408203,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,28,56.03409518384366,384.3019104003906,-46.052677154541016,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,29,58.034092823870864,384.2865905761719,-44.052738189697266,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,30,60.03409427848342,384.2712707519531,-42.05279541015625,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,31,62.03409596709059,384.25592041015625,-40.052852630615234,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,32,64.0340936071178,384.2406005859375,-38.052913665771484,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,33,66.03409506173035,384.22528076171875,-36.05297088623047,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,34,68.03409651634291,384.2099609375,-34.05302810668945,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,35,70.03409820495008,384.1946105957031,-32.05308532714844,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,36,72.03409584497729,384.1792907714844,-30.053146362304688,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,37,74.03409539229716,384.1639709472656,-28.053205490112305,0.0,90.43910217285156
extended,Town04,night_rain_fog,4,38,75.75159154022366,384.1397399902344,-26.335880279541016,0.0,91.76020050048828
extended,Town04,night_rain_fog,4,39,77.2979374969334,384.0636291503906,-24.79140853881836,0.0,93.88162994384766
extended,Town04,night_rain_fog,4,40,78.84427991776079,383.930419921875,-23.25081443786621,0.0,96.00306701660156
extended,Town04,night_rain_fog,4,41,80.3906193590523,383.7402648925781,-21.716211318969727,0.0,98.12450408935547
extended,Town04,night_rain_fog,4,42,81.93696452756633,383.493408203125,-20.189697265625,0.0,100.24593353271484
extended,Town04,night_rain_fog,4,43,83.48330588775035,383.19024658203125,-18.673364639282227,0.0,102.36737060546875
extended,Town04,night_rain_fog,4,44,85.02964640441874,382.8311462402344,-17.16929817199707,0.0,104.48880767822266
extended,Town04,night_rain_fog,4,45,86.57598739942533,382.4166259765625,-15.67955207824707,0.0,106.61024475097656
extended,Town04,night_rain_fog,4,46,88.12232949090264,381.9472351074219,-14.206172943115234,0.0,108.73168182373047
extended,Town04,night_rain_fog,4,47,89.66867482431167,381.4236145019531,-12.751179695129395,0.0,110.85311126708984
extended,Town04,night_rain_fog,4,48,91.21501896679762,380.84649658203125,-11.316566467285156,0.0,112.97454833984375
extended,Town04,night_rain_fog,4,49,92.76136158249842,380.2166748046875,-9.904298782348633,0.0,115.09599304199219
extended,Town04,night_rain_fog,4,50,94.3077043312257,379.5350036621094,-8.516314506530762,0.0,117.21742248535156
