protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
extended,Town04,night_rain_fog,19,0,0.0,-25.35120964050293,-245.4034423828125,0.0,122.20967864990234
extended,Town04,night_rain_fog,19,1,1.9774084127584095,-26.415973663330078,-243.7371826171875,0.0,122.94881439208984
extended,Town04,night_rain_fog,19,2,3.954820065066789,-27.50214385986328,-242.0847930908203,0.0,123.68795776367188
extended,Town04,night_rain_fog,19,3,5.932228693232024,-28.60955047607422,-240.44656372070312,0.0,124.42709350585938
extended,Town04,night_rain_fog,19,4,7.90964461360361,-29.737985610961914,-238.82273864746094,0.0,125.16622924804688
extended,Town04,night_rain_fog,19,5,9.887053782301734,-30.887287139892578,-237.213623046875,0.0,125.90538024902344
extended,Town04,night_rain_fog,19,6,11.868898624705231,-32.059478759765625,-235.6156005859375,0.0,126.49906921386719
extended,Town04,night_rain_fog,19,7,13.868906972248462,-33.24909973144531,-234.0078582763672,0.0,126.49906921386719
extended,Town04,night_rain_fog,19,8,15.86890078473907,-34.438716888427734,-232.40013122558594,0.0,126.49906921386719
extended,Town04,night_rain_fog,19,9,17.8689091322823,-35.62833786010742,-230.79238891601562,0.0,126.49906921386719
extended,Town04,night_rain_fog,19,10,19.867142212754562,-36.81707763671875,-229.1862030029297,0.0,126.55766296386719
extended,Town04,night_rain_fog,19,11,21.85927200209167,-38.00725173950195,-227.58868408203125,0.0,126.8141860961914
extended,Town04,night_rain_fog,19,12,23.851442019538034,-39.204566955566406,-225.9964599609375,0.0,127.07073211669922
extended,Town04,night_rain_fog,19,13,25.843605169960515,-40.409000396728516,-224.4096221923828,0.0,127.3272705078125
extended,Town04,night_rain_fog,19,14,27.835751706320288,-41.62051010131836,-222.8282012939453,0.0,127.58381652832031
extended,Town04,night_rain_fog,19,15,29.82794056437075,-42.839107513427734,-221.25218200683594,0.0,127.8403549194336
extended,Town04,night_rain_fog,19,16,31.82010393024546,-44.064754486083984,-219.68167114257812,0.0,128.09689331054688
extended,Town04,night_rain_fog,19,17,33.8122774449051,-45.29742431640625,-218.1166534423828,0.0,128.3534393310547
extended,Town04,night_rain_fog,19,18,35.804427197524916,-46.53705596923828,-216.5571746826172,0.0,128.6099853515625
extended,Town04,night_rain_fog,19,19,37.79658582244446,-47.78367614746094,-215.00326538085938,0.0,128.8665313720703
extended,Town04,night_rain_fog,19,20,39.78875528465327,-49.037261962890625,-213.4549560546875,0.0,129.12306213378906
extended,Town04,night_rain_fog,19,21,41.78092283198982,-50.29774856567383,-211.91226196289062,0.0,129.37960815429688
extended,Town04,night_rain_fog,19,22,43.773066904949204,-51.56513214111328,-210.37525939941406,0.0,129.6361541748047
extended,Town04,night_rain_fog,19,23,45.765257478106804,-52.839385986328125,-208.84388732910156,0.0,129.89268493652344
extended,Town04,night_rain_fog,19,24,47.75740936162095,-54.120479583740234,-207.3182830810547,0.0,130.14923095703125
extended,Town04,night_rain_fog,19,25,49.754582225942656,-55.41025161743164,-205.79342651367188,0.0,130.24229431152344
extended,Town04,night_rain_fog,19,26,51.75457239927573,-56.702293395996094,-204.2667999267578,0.0,130.24229431152344
extended,Town04,night_rain_fog,19,27,53.751877260820265,-57.99290084838867,-202.7424774169922,0.0,130.3309783935547
extended,Town04,night_rain_fog,19,28,55.7416462441178,-59.285118103027344,-201.2294158935547,0.0,130.66580200195312
extended,Town04,night_rain_fog,19,29,57.73141425423603,-60.586143493652344,-199.7239227294922,0.0,131.00062561035156
extended,Town04,night_rain_fog,19,30,59.72119558893846,-61.895965576171875,-198.22605895996094,0.0,131.33546447753906
extended,Town04,night_rain_fog,19,31,61.71095201048644,-63.21449279785156,-196.7358856201172,0.0,131.6702880859375
extended,Town04,night_rain_fog,19,32,63.700734869270335,-64.54171752929688,-195.25341796875,0.0,132.00511169433594
extended,Town04,night_rain_fog,19,33,65.69049188390696,-65.87757873535156,-193.7787628173828,0.0,132.33995056152344
extended,Town04,night_rain_fog,19,34,67.68027059433841,-67.2220458984375,-192.31192016601562,0.0,132.67477416992188
extended,Town04,night_rain_fog,19,35,69.67004745088285,-68.5750503540039,-190.8529510498047,0.0,133.00961303710938
extended,Town04,night_rain_fog,19,36,71.65980849867262,-69.93655395507812,-189.4019317626953,0.0,133.3444366455078
extended,Town04,night_rain_fog,19,37,73.64958972537187,-71.30652618408203,-187.95887756347656,0.0,133.67926025390625
extended,Town04,night_rain_fog,19,38,75.63936175229755,-72.68490600585938,-186.52386474609375,0.0,134.0140838623047
extended,Town04,night_rain_fog,19,39,77.62912255399145,-74.07164001464844,-185.09693908691406,0.0,134.34890747070312
extended,Town04,night_rain_fog,19,40,79.61890244918257,-75.46669006347656,-183.67811584472656,0.0,134.68374633789062
