protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
extended,Town04,night_rain_fog,7,0,0.0,7.8216705322265625,-157.17416381835938,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,1,1.9999848851473545,7.813821315765381,-159.17413330078125,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,2,4.000000287637809,7.805972099304199,-161.17413330078125,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,3,5.999985170913807,7.798123359680176,-163.17410278320312,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,4,7.999985314732711,7.790274143218994,-165.17408752441406,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,5,9.999985458551613,7.7824249267578125,-167.174072265625,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,6,11.999985602370517,7.774575710296631,-169.17405700683594,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,7,13.99998574618942,7.766726493835449,-171.17404174804688,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,8,15.999985888136981,7.758877754211426,-173.1740264892578,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,9,17.999986031955885,7.751028537750244,-175.17401123046875,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,10,19.999986175774787,7.7431793212890625,-177.1739959716797,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,11,21.999986319593688,7.735330104827881,-179.17398071289062,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,12,23.99998646341259,7.727480888366699,-181.17396545410156,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,13,25.999986605360153,7.719632148742676,-183.1739501953125,0.0,-450.224853515625
extended,Town04,night_rain_fog,7,14,27.999986749179058,7.711782932281494,-185.17393493652344,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,15,29.99998689299796,7.7039337158203125,-187.17391967773438,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,16,31.99998703681686,7.696084499359131,-189.1739044189453,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,17,33.99998718063576,7.688235282897949,-191.17388916015625,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,18,35.99998732258332,7.680386543273926,-193.1738739013672,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,19,37.999987466402224,7.672537326812744,-195.17385864257812,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,20,39.999987610221126,7.6646881103515625,-197.17384338378906,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,21,41.999987752168686,7.656839370727539,-199.173828125,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,22,43.99998789785904,7.648989677429199,-201.17381286621094,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,23,45.9999880398066,7.641140937805176,-203.17379760742188,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,24,47.999988183625504,7.633291721343994,-205.1737823486328,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,25,49.999988327444406,7.6254425048828125,-207.17376708984375,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,26,51.999988469391965,7.617593765258789,-209.1737518310547,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,27,53.99998861321087,7.609744548797607,-211.17373657226562,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,28,55.99998875702977,7.601895332336426,-213.17372131347656,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,29,57.99998890084867,7.594046115875244,-215.1737060546875,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,30,59.99998904466757,7.5861968994140625,-217.17369079589844,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,31,61.99998918661513,7.578348159790039,-219.17367553710938,0.0,-90.224853515625
extended,Town04,night_rain_fog,7,32,63.91293779508227,7.57833194732666,-221.0866241455078,0.0,270.3452453613281
extended,Town04,night_rain_fog,7,33,65.80367457253301,7.601528167724609,-222.9772186279297,0.0,-88.93952941894531
extended,Town04,night_rain_fog,7,34,67.69443627227642,7.648324966430664,-224.86740112304688,0.0,-88.22432708740234
extended,Town04,night_rain_fog,7,35,69.58519675997462,7.718707084655762,-226.75685119628906,0.0,-87.50911712646484
extended,Town04,night_rain_fog,7,36,71.47596022986914,7.812660217285156,-228.64527893066406,0.0,-86.79391479492188
extended,Town04,night_rain_fog,7,37,73.36673170056285,7.930184364318848,-230.5323944091797,0.0,-86.0787124633789
extended,Town04,night_rain_fog,7,38,75.25750058170132,8.071266174316406,-232.4178924560547,0.0,-85.36351013183594
extended,Town04,night_rain_fog,7,39,77.14826894495026,8.235859870910645,-234.30148315429688,0.0,-84.64830780029297
extended,Town04,night_rain_fog,7,40,79.03901108052764,8.423954010009766,-236.18284606933594,0.0,-83.93310546875
extended,Town04,night_rain_fog,7,41,80.92979093365797,8.635519027709961,-238.06175231933594,0.0,-83.21790313720703
extended,Town04,night_rain_fog,7,42,82.82055087607093,8.870523452758789,-239.93785095214844,0.0,-82.50270080566406
extended,Town04,night_rain_fog,7,43,84.7113233215854,9.128928184509277,-241.81088256835938,0.0,-81.7874984741211
extended,Town04,night_rain_fog,7,44,86.60207900337589,9.410686492919922,-243.68052673339844,0.0,-81.0722885131836
extended,Town04,night_rain_fog,7,45,88.49284949548652,9.715755462646484,-245.54652404785156,0.0,-80.35708618164062
extended,Town04,night_rain_fog,7,46,90.3836091580878,10.044109344482422,-247.40855407714844,0.0,-79.64187622070312
