protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
extended,Town04,night_rain_fog,6,0,0.0,348.0001525878906,-142.8535614013672,0.00433349609375,90.77144622802734
extended,Town04,night_rain_fog,6,1,2.0002574033820126,347.9732360839844,-140.85348510742188,0.00433349609375,90.77144622802734
extended,Town04,night_rain_fog,6,2,4.0002558417862755,347.9462890625,-138.85366821289062,0.00433349609375,90.77144622802734
extended,Town04,night_rain_fog,6,3,6.00025386924409,347.91937255859375,-136.85385131835938,0.00433349609375,90.77144622802734
extended,Town04,night_rain_fog,6,4,8.000251896701904,347.8924560546875,-134.85403442382812,0.004370139911770821,90.77144622802734
extended,Town04,night_rain_fog,6,5,10.000250335106168,347.8655090332031,-132.85421752929688,0.005269263871014118,90.77144622802734
extended,Town04,night_rain_fog,6,6,11.985602920237488,347.8384704589844,-130.86904907226562,0.0073725092224776745,91.25093841552734
extended,Town04,night_rain_fog,6,7,13.651628586179136,347.6447448730469,-129.21432495117188,0.010359128937125206,102.10366821289062
extended,Town04,night_rain_fog,6,8,15.31764897227676,347.1429443359375,-127.62567138671875,0.013389673084020615,112.95641326904297
extended,Town04,night_rain_fog,6,9,16.983699466694667,346.3509521484375,-126.15990447998047,0.016393233090639114,123.80914306640625
extended,Town04,night_rain_fog,6,10,18.649724739810488,345.29718017578125,-124.86947631835938,0.01856679655611515,134.66188049316406
extended,Town04,night_rain_fog,6,11,20.315745571316988,344.019287109375,-123.80054473876953,0.01953624002635479,145.51461791992188
extended,Town04,night_rain_fog,6,12,22.110086101054115,342.4828186035156,-122.87376403808594,0.01959228515625,152.21469116210938
extended,Town04,night_rain_fog,6,13,23.906579918478798,340.8476867675781,-122.12963104248047,0.01959228515625,158.84512329101562
extended,Town04,night_rain_fog,6,14,25.70304361725441,339.1376037597656,-121.57926940917969,0.01959228515625,165.47555541992188
extended,Town04,night_rain_fog,6,15,27.499551704717817,337.3753662109375,-121.23004150390625,0.01959228515625,172.10598754882812
extended,Town04,night_rain_fog,6,16,29.296056327484933,335.5845947265625,-121.08663177490234,0.01959228515625,178.73641967773438
extended,Town04,night_rain_fog,6,17,31.22947741536451,333.6512756347656,-121.10649108886719,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,18,33.229462905771825,331.65155029296875,-121.13874816894531,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,19,35.22947878675228,329.65179443359375,-121.1709976196289,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,20,37.2294642771596,327.6520690917969,-121.20325469970703,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,21,39.22944964452958,325.65234375,-121.23550415039062,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,22,41.2294656485455,323.652587890625,-121.26776123046875,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,23,43.22948165256142,321.65283203125,-121.30001831054688,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,24,45.22946714296874,319.6531066894531,-121.332275390625,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,25,47.22948302394919,317.6533508300781,-121.3645248413086,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,26,49.22946851435651,315.65362548828125,-121.39678192138672,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,27,51.22945388172649,313.6539001464844,-121.42903137207031,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,28,53.22946988574241,311.6541442871094,-121.46128845214844,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,29,55.22945525311239,309.6544189453125,-121.49353790283203,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,30,57.22947125712831,307.6546630859375,-121.52579498291016,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,31,59.22945674753563,305.6549377441406,-121.55805206298828,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,32,61.229472628516085,303.6551818847656,-121.59030151367188,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,33,63.22948850949654,301.6554260253906,-121.62255096435547,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,34,65.22947399990386,299.65570068359375,-121.6548080444336,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,35,67.22949000391978,297.65594482421875,-121.68706512451172,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,36,69.22947537128975,295.6562194824219,-121.71931457519531,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,37,71.22949137530567,293.6564636230469,-121.75157165527344,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,38,73.22947674267564,291.65673828125,-121.78382110595703,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,39,75.22946223308296,289.6570129394531,-121.81607818603516,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,40,77.22947811406341,287.6572570800781,-121.84832763671875,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,41,79.22946360447072,285.65753173828125,-121.88058471679688,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,42,81.22947960848664,283.65777587890625,-121.912841796875,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,43,83.22946497585662,281.6580505371094,-121.9450912475586,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,44,85.22948097987253,279.6582946777344,-121.97734832763672,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,45,87.22946634724251,277.6585693359375,-122.00959777832031,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,46,89.22948235125843,275.6588134765625,-122.04185485839844,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,47,91.2294677186284,273.6590881347656,-122.07410430908203,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,48,93.22948372264432,271.6593322753906,-122.10636138916016,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,49,95.22946921305163,269.65960693359375,-122.13861846923828,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,50,97.22948509403209,267.65985107421875,-122.17086791992188,0.01959228515625,180.92404174804688
extended,Town04,night_rain_fog,6,51,99.22910417505497,265.6604919433594,-122.20310974121094,0.01959228515625,-179.07595825195312
extended,Town04,night_rain_fog,6,52,101.22908966546228,263.6607666015625,-122.23536682128906,0.01959228515625,-179.07595825195312
extended,Town04,night_rain_fog,6,53,102.74347419781546,262.1581115722656,-122.4234848022461,0.019588828086853027,-163.3765869140625
extended,Town04,night_rain_fog,6,54,104.16735346842586,260.8778076171875,-123.04658508300781,0.019584693014621735,-144.72076416015625
extended,Town04,night_rain_fog,6,55,105.5912518403251,259.86407470703125,-124.04650115966797,0.01958465576171875,-126.06491088867188
extended,Town04,night_rain_fog,6,56,107.2261377792645,259.0536804199219,-125.46640014648438,0.01958465576171875,-114.1966552734375
extended,Town04,night_rain_fog,6,57,108.8841318211744,258.52374267578125,-127.03742218017578,0.01958465576171875,-103.08438110351562
extended,Town04,night_rain_fog,6,58,110.54212302894139,258.3065185546875,-128.68112182617188,0.01958465576171875,-91.97207641601562
extended,Town04,night_rain_fog,6,59,112.47673911804928,258.3064880371094,-130.61573791503906,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,60,114.47673335973172,258.3126525878906,-132.61572265625,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,61,116.47672760141417,258.3188171386719,-134.61570739746094,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,62,118.47673710181319,258.3249816894531,-136.61570739746094,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,63,120.47673134349563,258.3311462402344,-138.61569213867188,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,64,122.47672558517807,258.3373107910156,-140.6156768798828,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,65,124.47673517987306,258.343505859375,-142.6156768798828,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,66,126.4767294215555,258.34967041015625,-144.61566162109375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,67,128.47673892195454,258.3558349609375,-146.61566162109375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,68,130.47673316363696,258.36199951171875,-148.6156463623047,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,69,132.4767274053194,258.3681640625,-150.61563110351562,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,70,134.4767369057184,258.37432861328125,-152.61563110351562,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,71,136.47673124169754,258.3805236816406,-154.61561584472656,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,72,138.47672548337997,258.3866882324219,-156.6156005859375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,73,140.47673498377898,258.3928527832031,-158.6156005859375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,74,142.4767292254614,258.3990173339844,-160.61558532714844,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,75,144.47673872586043,258.4051818847656,-162.61558532714844,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,76,146.47673306183955,258.411376953125,-164.61557006835938,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,77,148.47672730352198,258.41754150390625,-166.6155548095703,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,78,150.476736803921,258.4237060546875,-168.6155548095703,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,79,152.47673104560343,258.42987060546875,-170.61553955078125,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,80,154.47674045217215,258.4360046386719,-172.61553955078125,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,81,156.47673478815128,258.44219970703125,-174.6155242919922,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,82,158.4767290298337,258.4483642578125,-176.61550903320312,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,83,160.47673853023272,258.45452880859375,-178.61550903320312,0.01958465576171875,-449.8232421875
extended,Town04,night_rain_fog,6,84,162.47673286621185,258.4607238769531,-180.61549377441406,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,85,164.47674236661086,258.4668884277344,-182.61549377441406,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,86,166.4767366082933,258.4730529785156,-184.615478515625,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,87,168.47673084997572,258.4792175292969,-186.61546325683594,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,88,170.4767404446707,258.48541259765625,-188.61546325683594,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,89,172.47673468635313,258.4915771484375,-190.61544799804688,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,90,174.47674418675214,258.49774169921875,-192.61544799804688,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,91,176.47673842843457,258.50390625,-194.6154327392578,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,92,178.476732670117,258.51007080078125,-196.61541748046875,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,93,180.47674217051602,258.5162353515625,-198.61541748046875,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,94,182.47673650649514,258.5224304199219,-200.6154022216797,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,95,184.47673074817757,258.5285949707031,-202.61538696289062,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,96,186.4767402485766,258.5347595214844,-204.61538696289062,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,97,188.47673449025902,258.5409240722656,-206.61537170410156,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,98,190.47672873194145,258.5470886230469,-208.6153564453125,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,99,192.47673823234047,258.5532531738281,-210.6153564453125,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,100,194.4767325683196,258.5594482421875,-212.61534118652344,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,101,196.4767420687186,258.56561279296875,-214.61534118652344,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,102,198.47673631040104,258.57177734375,-216.61532592773438,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,103,200.47674581080005,258.57794189453125,-218.61532592773438,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,104,202.47674005248248,258.5841064453125,-220.6153106689453,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,105,204.4767342941649,258.59027099609375,-222.61529541015625,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,106,206.4767438888599,258.5964660644531,-224.61529541015625,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,107,208.47673813054232,258.6026306152344,-226.6152801513672,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,108,210.47673237222475,258.6087951660156,-228.61526489257812,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,109,212.47674187262376,258.6149597167969,-230.61526489257812,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,110,214.4767361143062,258.6211242675781,-232.61524963378906,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,111,216.47673035598862,258.6272888183594,-234.615234375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,112,218.47673985638764,258.6334533691406,-236.615234375,0.01958465576171875,-89.82324981689453
extended,Town04,night_rain_fog,6,113,220.51023738669178,258.6377258300781,-238.6487274169922,0.01958465576171875,-90.92060089111328
extended,Town04,night_rain_fog,6,114,222.88693698776487,258.3412780761719,-241.00686645507812,0.01958465576171875,-103.40802001953125
extended,Town04,night_rain_fog,6,115,225.26363481863052,257.5419921875,-243.24513244628906,0.01958465576171875,-115.89544677734375
extended,Town04,night_rain_fog,6,116,227.64032294159443,256.27764892578125,-245.2576141357422,0.016491442918777466,-128.3828582763672
extended,Town04,night_rain_fog,6,117,230.00648776270603,254.6175994873047,-246.9437255859375,0.004894169047474861,-140.5183563232422
extended,Town04,night_rain_fog,6,118,232.34842130786436,252.67198181152344,-248.2472686767578,0.00433349609375,-151.8383331298828
extended,Town04,night_rain_fog,6,119,234.69035344287556,250.5083465576172,-249.1435546875,0.00433349609375,-163.15830993652344
extended,Town04,night_rain_fog,6,120,237.03227970827945,248.21087646484375,-249.5977020263672,0.00433349609375,-174.47828674316406
extended,Town04,night_rain_fog,6,121,239.21186009102686,246.03182983398438,-249.64593505859375,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,122,241.21186167316867,244.03187561035156,-249.63217163085938,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,123,243.21186336037522,242.03192138671875,-249.61839294433594,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,124,245.21186494251702,240.03196716308594,-249.60462951660156,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,125,247.21186662972357,238.03201293945312,-249.59085083007812,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,126,249.21186821186538,236.0320587158203,-249.57708740234375,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,127,251.21186989907193,234.0321044921875,-249.5633087158203,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,128,253.211856222786,232.03216552734375,-249.54954528808594,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,129,255.2118578049278,230.03221130371094,-249.53578186035156,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,130,257.21185949213435,228.03225708007812,-249.52200317382812,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,131,259.21186107427616,226.0323028564453,-249.50823974609375,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,132,261.2118627614827,224.0323486328125,-249.4944610595703,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,133,263.2118643436245,222.0323944091797,-249.48069763183594,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,134,265.211866030831,220.03244018554688,-249.4669189453125,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,135,267.2118676129728,218.03248596191406,-249.45315551757812,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,136,269.21186930017933,216.03253173828125,-249.4393768310547,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,137,271.21185562389337,214.0325927734375,-249.4256134033203,0.00433349609375,179.60549926757812
extended,Town04,night_rain_fog,6,138,273.21187256952686,212.03262329101562,-249.41183471679688,0.00433349609375,-180.39450073242188
extended,Town04,night_rain_fog,6,139,275.39911135642564,209.8468475341797,-249.33184814453125,0.00433349609375,-186.56199645996094
extended,Town04,night_rain_fog,6,140,277.7643563068705,207.53868103027344,-248.81536865234375,0.00433349609375,-198.6636199951172
extended,Town04,night_rain_fog,6,141,280.1295655633259,205.39012145996094,-247.82647705078125,0.005161112640053034,-210.76527404785156
extended,Town04,night_rain_fog,6,142,282.4953044706127,203.49623107910156,-246.4087677001953,0.012356418184936047,-222.8835906982422
extended,Town04,night_rain_fog,6,143,284.8953745331833,201.93817138671875,-244.5831756591797,0.01909005269408226,-236.158447265625
extended,Town04,night_rain_fog,6,144,287.29545488135585,200.84095764160156,-242.44857788085938,0.01959228515625,-249.43333435058594
extended,Town04,night_rain_fog,6,145,289.6955314439229,200.26319885253906,-240.11907958984375,0.01959228515625,-262.70819091796875
extended,Town04,night_rain_fog,6,146,291.87720765089813,200.15673828125,-237.94000244140625,0.01959228515625,-268.685546875
extended,Town04,night_rain_fog,6,147,293.87719998109276,200.11085510253906,-235.94053649902344,0.01959228515625,91.31442260742188
extended,Town04,night_rain_fog,6,148,295.87720756606046,200.06497192382812,-233.94105529785156,0.01959228515625,91.31442260742188
extended,Town04,night_rain_fog,6,149,297.87719954625106,200.01910400390625,-231.94158935546875,0.01959228515625,91.31442260742188
extended,Town04,night_rain_fog,6,150,299.87720713121877,199.9732208251953,-229.94210815429688,0.01959228515625,91.31442260742188
extended,Town04,night_rain_fog,6,151,301.8771994614134,199.92733764648438,-227.94264221191406,0.01959228515625,91.31442260742188
