protocol,town,weather,episode,seed,checkpoint_role,checkpoint_training_steps,calibrator_fitted,requested_npc,spawned_npc,requested_walkers,spawned_walkers,spawn_index,goal_index,route_length_m,steps,total_reward,success,terminal_reason,route_completion_pct,distance_km,collision,collision_type,off_route,timeout,stuck,red_light_events,intervention_rate,mean_cte_m,mean_abs_route_heading_rad,mean_speed_kmh,min_ttc_s,ttc_observed,mean_sigma_bar,mean_sigma_ale,mean_sigma_epi,mean_policy_entropy_proxy,local_infraction_score,local_driving_score,official_leaderboard_score,server_error
cross_town,Town02,mixed,1,43,adapted_target,545906,0,20,20,0,0,98,-1,499.2346794092084,250,88.89318573937355,0,stuck,2.1565295788918544e-11,4.76837158203125e-10,0,none,0,1,1,0,0.0,4.673004150390625e-07,2.663161087212984e-07,0.02130651923283343,0.9563160899341345,1,0.9616216418743133,0.23798065614700317,3.9839065933823585,1.3762511093616485,0.7142857142857143,1.540378270637039e-11,0,0
cross_town,Town02,mixed,2,44,adapted_target,545906,0,20,20,0,0,64,-1,499.35112703508935,6600,2882.011535092915,0,timeout,3.8196537500315136e-07,0.0,0,none,0,1,0,0,0.0,0.0,2.663161087212984e-07,0.0008074711279456861,1.3002256452996397,1,0.5057858011736112,0.22092485440048304,0.4233441308607298,2.679417709879803,0.7142857142857143,2.728324107165367e-07,0,0
cross_town,Town02,mixed,3,45,adapted_target,545906,0,20,20,0,0,98,-1,501.23677125825446,250,86.34564449225084,0,stuck,2.1479157449919837e-11,4.76837158203125e-10,0,none,0,1,1,0,0.0,4.673004150390625e-07,2.663161087212984e-07,0.021308612740221864,0.9626107101131923,1,0.9085123604536056,0.18362104830145837,2.670502544850111,1.6517905485630036,0.7142857142857143,1.534225532137131e-11,0,0
cross_town,Town02,mixed,4,46,adapted_target,545906,0,20,20,0,0,85,-1,499.13186526005495,6600,1798.1523145705962,0,timeout,0.20346969472991244,0.0010313557364033234,0,none,0,1,0,0,0.0,0.14799912796906112,0.0669178452988554,0.012181921822398283,1.0343713850754475,1,0.9994286400982828,0.211907458476948,97.71748219489149,1.0056033714431705,0.7142857142857143,0.14533549623565176,0,0
cross_town,Town02,mixed,5,47,adapted_target,545906,0,20,20,0,0,91,-1,499.21274884127104,6600,2451.4425290167264,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,1.3003731424987564e-10,0.000807748458510553,1.0427923539635953,1,0.4068982698136207,0.1743946756738605,5.032600760913214,2.8867844829866383,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,6,48,adapted_target,545906,0,20,20,0,0,47,-1,499.595430352111,281,29.04595463579693,0,collision,3.913078829037564,0.02032203960640384,1,static,0,0,0,0,0.0,0.5000138862449609,0.06664771785322181,5.2470667506908635,4.383418342148999,1,0.9991135156027363,0.32822707762073366,30.266796633654216,-0.8490506690592104,0.625,2.4456742681484775,0,0
cross_town,Town02,mixed,7,49,adapted_target,545906,0,20,20,0,0,7,-1,500.16789976165273,250,92.04120610776715,0,stuck,0.0003691407453701041,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,0.0,0.021308588808906796,1.5507910671348493,1,0.9478119168281555,0.3779976828098297,3.1104484881460666,1.1621231853961944,0.7142857142857143,0.00026367196097864577,0,0
cross_town,Town02,mixed,8,50,adapted_target,545906,0,20,20,0,0,2,-1,500.4448443486394,6456,2432.3475020139895,0,timeout,0.0005457790748268491,0.0,0,none,0,1,0,0,0.0,7.152557373046875e-07,1.331580543606492e-07,0.0008252831347472854,0.8103071680904224,1,0.41816732651395944,0.17972631539567807,5.277104399413825,2.5383849430833902,0.7142857142857143,0.0003898421963048922,0,0
cross_town,Town02,mixed,9,51,adapted_target,545906,0,20,20,0,0,5,-1,500.0996068996452,250,110.02682408932442,0,stuck,0.0,0.0,0,none,0,1,1,0,0.0,4.76837158203125e-07,2.663161087212984e-07,0.021306488752263774,4.093657036962013,1,0.9998089790344238,0.7655635167360306,12.283173235416413,-0.1147320053577423,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,10,52,adapted_target,545906,0,20,20,0,0,43,-1,500.0229893708359,250,100.40336695121171,0,stuck,0.0,0.0,0,none,0,1,1,0,0.0,2.86102294921875e-06,2.663161091653876e-07,0.021307439437433923,2.039810154638257,1,0.9810128936767578,0.25208854949474335,66.89905075225234,-0.10524952483177186,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,11,53,adapted_target,545906,0,20,20,0,0,18,-1,500.43545264738594,250,110.1262852331223,0,stuck,1.5245497122630576e-06,0.0,0,none,0,1,1,0,0.0,0.0,2.663161091653876e-07,0.02130811347622737,4.890451650844673,1,0.9999561092853546,0.800000011920929,7.835726748704911,0.10801701521873475,0.7142857142857143,1.0889640801878984e-06,0,0
cross_town,Town02,mixed,12,54,adapted_target,545906,0,20,20,0,0,3,-1,500.9537476759032,250,110.13531876349927,0,stuck,0.0,4.76837158203125e-10,0,none,0,1,1,0,0.0,1.1444091796875e-08,2.663161087212984e-07,0.02130810941748728,9.505620029958159,1,0.9996976001262665,0.39648638474941256,25.545737624883653,0.4501092875003815,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,13,55,adapted_target,545906,0,20,20,0,0,57,-1,500.8748832337429,6456,1994.759189167566,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,0.0,0.0008270128748429507,0.8281508741754812,1,0.9794381146343446,0.21543406694204242,3.7911186035553137,3.1308270386954518,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,14,56,adapted_target,545906,0,20,20,0,0,76,-1,500.37590302890914,6600,2248.2296641036437,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,3.994741635260368e-07,0.0008072224120707609,1.393562307726666,1,0.6229436688441219,0.23866348475895144,1.796736455230381,2.9260909775712274,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,15,57,adapted_target,545906,0,20,20,0,0,88,-1,499.3031829335799,250,110.43608425651091,0,stuck,0.0006387027479528596,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,1.331580543606492e-07,0.021307088981860258,7.192958137534777,1,0.9736964423656463,0.4904470854997635,6.693568607091904,-0.4309243640899658,0.7142857142857143,0.00045621624853775685,0,0
cross_town,Town02,mixed,16,58,adapted_target,545906,0,20,20,0,0,87,-1,499.7675879071405,110,35.609444137553,0,collision,0.6527075453675685,0.003381523043321167,1,static,0,0,0,0,0.0,0.08828564122509719,0.03470550669336327,2.3076763076240905,16.573915082674123,1,0.9935329269279133,0.5229333774609999,39.01235867684538,-0.9007077661427585,0.625,0.4079422158547303,0,0
cross_town,Town02,mixed,17,59,adapted_target,545906,0,20,20,0,0,96,-1,500.13330614450166,250,109.81582964062314,0,stuck,3.0509436650674825e-06,0.0,0,none,0,1,1,0,0.0,0.0,5.326322183307752e-07,0.021307241677927174,23.568308160064834,1,0.9952833166122437,0.6478650066852569,17.170530562788247,-0.22106401801109313,0.7142857142857143,2.179245475048202e-06,0,0
cross_town,Town02,mixed,18,60,adapted_target,545906,0,20,20,0,0,56,-1,500.6872872837705,250,101.45433370635638,0,stuck,0.0,4.76837158203125e-10,0,none,0,1,1,0,0.0,9.5367431640625e-09,2.663161087212984e-07,0.021306613162563767,1.2498884139646265,1,0.9492031663656235,0.2410703597664833,8.06015615554154,1.167423058271408,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,19,61,adapted_target,545906,0,20,20,0,0,90,-1,500.08771099588824,6600,2549.1653557402765,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,0.0,0.0008092504794457598,0.921765876682313,1,0.2911776606512792,0.16691319147858655,0.2546902366432672,3.3461152955618774,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,20,62,adapted_target,545906,0,20,20,0,0,55,-1,499.4980335875725,250,91.43480453202186,0,stuck,1.3983822478535569e-09,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,2.663161087212984e-07,0.02130654473150245,1.4749669695873133,1,0.9511901817321777,0.2653423574566841,4.630117576479912,1.473636029958725,0.7142857142857143,9.988444627525407e-10,0,0
