protocol,town,weather,episode,seed,checkpoint_role,checkpoint_training_steps,calibrator_fitted,requested_npc,spawned_npc,requested_walkers,spawned_walkers,spawn_index,goal_index,route_length_m,steps,total_reward,success,terminal_reason,route_completion_pct,distance_km,collision,collision_type,off_route,timeout,stuck,red_light_events,intervention_rate,mean_cte_m,mean_abs_route_heading_rad,mean_speed_kmh,min_ttc_s,ttc_observed,mean_sigma_bar,mean_sigma_ale,mean_sigma_epi,mean_policy_entropy_proxy,local_infraction_score,local_driving_score,official_leaderboard_score,server_error
cross_town,Town02,mixed,1,43,adapted_target,415906,0,20,20,0,0,98,-1,499.2346794092084,250,96.87380120448776,0,stuck,2.1565295788918544e-11,4.76837158203125e-10,0,none,0,1,1,0,0.0,4.673004150390625e-07,2.663161087212984e-07,0.02130657065513838,0.9563160899341345,1,0.6813220517039299,0.2379806461930275,2.5330513434382156,1.4499608356952667,0.7142857142857143,1.540378270637039e-11,0,0
cross_town,Town02,mixed,2,44,adapted_target,415906,0,20,20,0,0,64,-1,499.35112703508935,6600,2932.5385980203505,0,timeout,3.8196537500315136e-07,0.0,0,none,0,1,0,0,0.0,0.0,2.663161087212984e-07,0.0008076653749250015,1.3058382826360748,1,0.4252403528852896,0.22129211062960552,0.22913722302979847,2.240145870700027,0.7142857142857143,2.728324107165367e-07,0,0
cross_town,Town02,mixed,3,45,adapted_target,415906,0,20,20,0,0,98,-1,501.23677125825446,250,92.49529688369469,0,stuck,2.1479157449919837e-11,4.76837158203125e-10,0,none,0,1,1,0,0.0,4.673004150390625e-07,2.663161087212984e-07,0.021306702282678038,0.9626107101131923,1,0.6920999393463135,0.18362104830145837,1.1400890859635546,1.6933254706859588,0.7142857142857143,1.534225532137131e-11,0,0
cross_town,Town02,mixed,4,46,adapted_target,415906,0,20,20,0,0,85,-1,499.13186526005495,6600,2456.591808969992,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,7.62939453125e-06,2.663161087212984e-07,0.0008073582815334315,1.0667667316402891,1,0.30648384921478505,0.20467964373528957,0.16783978330903418,2.8517148956927385,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,5,47,adapted_target,415906,0,20,20,0,0,91,-1,499.21274884127104,6600,1577.4788441952257,0,timeout,0.3531790783245554,0.001822781682239232,0,none,0,1,0,0,0.0,0.3842419479417643,0.16256919278495058,0.02085245278820094,1.0637677153234228,1,0.9558176390713815,0.17102994296473986,28.700843432000116,0.8226411216638305,0.7142857142857143,0.2522707702318253,0,0
cross_town,Town02,mixed,6,48,adapted_target,415906,0,20,20,0,0,47,-1,499.595430352111,6456,2379.979260168815,0,timeout,1.8641530641738128e-09,0.0,0,none,0,1,0,0,0.0,1.52587890625e-05,0.0,0.0008255115123524046,1.2502879814115375,1,0.3403323912898441,0.24485828355647152,0.1397371651188221,2.8950238004603794,0.7142857142857143,1.3315379029812949e-09,0,0
cross_town,Town02,mixed,7,49,adapted_target,415906,0,20,20,0,0,7,-1,500.16789976165273,250,99.318264311984,0,stuck,0.0003691407453701041,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,0.0,0.02130857011853406,1.5507910671348493,1,0.6730672532916069,0.3779976828098297,1.1036526714488863,0.8646671459674835,0.7142857142857143,0.00026367196097864577,0,0
cross_town,Town02,mixed,8,50,adapted_target,415906,0,20,20,0,0,2,-1,500.4448443486394,6456,2451.1364222468246,0,timeout,0.0005457790748268491,0.0,0,none,0,1,0,0,0.0,7.152557373046875e-07,1.331580543606492e-07,0.0008252880156419831,0.8103071680904224,1,0.3940243742658377,0.17972631539567807,2.0942282469667743,2.43012163428015,0.7142857142857143,0.0003898421963048922,0,0
cross_town,Town02,mixed,9,51,adapted_target,415906,0,20,20,0,0,5,-1,500.0996068996452,250,112.79578451180824,0,stuck,0.0,0.0,0,none,0,1,1,0,0.0,4.76837158203125e-07,2.663161087212984e-07,0.02130856308179342,4.093657036962013,1,0.8905995869636536,0.7655635167360306,1.2467141015976668,-1.6187801961898804,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,10,52,adapted_target,415906,0,20,20,0,0,43,-1,500.0229893708359,250,100.05615881541473,0,stuck,0.0,0.0,0,none,0,1,1,0,0.0,2.86102294921875e-06,2.663161091653876e-07,0.021307511285407827,2.039810154638257,1,0.9999890995025634,0.25208854949474335,31.183082779884337,-0.6159751052856446,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,11,53,adapted_target,415906,0,20,20,0,0,18,-1,500.43545264738594,250,111.33436495127327,0,stuck,1.5245497122630576e-06,0.0,0,none,0,1,1,0,0.0,0.0,2.663161091653876e-07,0.021308057503156924,4.890451650844673,1,0.9522530221939087,0.800000011920929,0.606915328770876,-1.6913500576019287,0.7142857142857143,1.0889640801878984e-06,0,0
cross_town,Town02,mixed,12,54,adapted_target,415906,0,20,20,0,0,3,-1,500.9537476759032,250,111.38759078984677,0,stuck,0.0,1.430511474609375e-09,0,none,0,1,1,0,0.0,1.33514404296875e-08,2.663161087212984e-07,0.021306555005702776,9.505620029958159,1,0.955501040816307,0.39648638474941256,5.029243425130844,0.48254143333435057,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,13,55,adapted_target,415906,0,20,20,0,0,57,-1,500.8748832337429,6456,2466.7111741154863,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,0.0,0.0008270093676376269,0.9244071791073653,1,0.29471693215418554,0.2137397697017686,0.1315553432045113,3.0935415352291926,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,14,56,adapted_target,415906,0,20,20,0,0,76,-1,500.37590302890914,6600,2452.2270402811087,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,3.994741635260368e-07,0.000807222600146178,1.393562307726666,1,0.3136136675603462,0.23866348475895144,0.10749195860534339,2.8903777024059583,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,15,57,adapted_target,415906,0,20,20,0,0,88,-1,499.3031829335799,250,110.30713138550124,0,stuck,0.0006387027479528596,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,1.331580543606492e-07,0.021307050558204216,7.192958137534777,1,0.9748643770217895,0.4904470854997635,2.2304256913363933,-0.2794069004058838,0.7142857142857143,0.00045621624853775685,0,0
cross_town,Town02,mixed,16,58,adapted_target,415906,0,20,20,0,0,87,-1,499.7675879071405,250,111.76556460890545,0,stuck,0.0,0.0,0,none,0,1,1,0,0.0,0.008472497574985027,5.32632217886686e-07,0.021316967331792374,10.590453337334143,1,0.9179564681053162,0.6796723873615265,1.5812781056240202,-0.8902086772918701,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,17,59,adapted_target,415906,0,20,20,0,0,96,-1,500.13330614450166,250,111.0711924513662,0,stuck,3.0509436650674825e-06,0.0,0,none,0,1,1,0,0.0,0.0,5.326322183307752e-07,0.021307290256025853,23.568308160064834,1,0.9519461953639984,0.6478650066852569,1.6414052772819996,-0.8855930969715119,0.7142857142857143,2.179245475048202e-06,0,0
cross_town,Town02,mixed,18,60,adapted_target,415906,0,20,20,0,0,56,-1,500.6872872837705,250,108.64752375950732,0,stuck,0.0,4.76837158203125e-10,0,none,0,1,1,0,0.0,9.5367431640625e-09,2.663161087212984e-07,0.02130657051091542,1.2498884139646265,1,0.6782722228169441,0.2410886140167713,1.0766136722266675,1.7071383249759675,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,19,61,adapted_target,415906,0,20,20,0,0,90,-1,500.08771099588824,6600,2548.156882001893,0,timeout,0.0,0.0,0,none,0,1,0,0,0.0,0.0,0.0,0.0008092527617614562,0.921765876682313,1,0.2939202164700537,0.16691319147858655,0.1616861336887726,3.1435521560184885,0.7142857142857143,0.0,0,0
cross_town,Town02,mixed,20,62,adapted_target,415906,0,20,20,0,0,55,-1,499.4980335875725,250,100.45575010064275,0,stuck,1.3983822478535569e-09,0.0,0,none,0,1,1,0,0.0,1.52587890625e-05,2.663161087212984e-07,0.021307367513995947,1.4749669695873133,1,0.5997195041775704,0.2653424168229103,0.9333206221436267,1.773680151939392,0.7142857142857143,9.988444627525407e-10,0,0
