protocol,town,weather,episode,t,sim_time_s,ego_x,ego_y,ego_z,ego_yaw_deg,route_s_m,route_remaining_m,route_completion_pct,cte_m,route_heading_rad,speed_kmh,reward,command_throttle,command_brake,command_steer,applied_throttle,applied_brake,applied_steer,sigma_bar,sigma_ale,sigma_epi,policy_entropy_proxy,attention,top_attention_index,top_attention_value,ttc_s,collision,off_route,timeout,red_light_violation,intervention,terminal_reason
zero_shot,Town05,mixed,16,1,0.05,-44.19869613647461,-39.610801696777344,-0.014211349189281464,-90.33757781982422,0.0002517881202275493,500.58402479756126,5.029884716813563e-05,3.814697265625e-06,1.4647385988553197e-06,0.5875484382593495,0.434396122989453,0.012681245803833008,0.8971093893051147,-0.8662410974502563,0.0,0.07999999821186066,-0.07999999821186066,1.0,0.3516719341278076,16.60066795349121,2.3404085636138916,0.6359317|0.3640683|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6359317302703857,,0,0,0,0,0,
zero_shot,Town05,mixed,16,2,0.1,-44.19871520996094,-39.61091613769531,-0.0030226516537368298,-90.337646484375,0.0003663394307892569,500.5839102462507,7.318236866885553e-05,1.9073486328125e-05,2.6631610907656977e-06,0.9027319168692917,0.42893538067103065,0.013787627220153809,0.7136439681053162,-0.6590386629104614,0.0,0.1599999964237213,-0.1599999964237213,0.9997875094413757,0.3767901659011841,2.2372593879699707,2.4476706981658936,0.6862773|0.3137226|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6862773299217224,,0,0,0,0,0,
zero_shot,Town05,mixed,16,3,0.15,-44.19873809814453,-39.61088943481445,0.009756279177963734,-90.33763885498047,0.00033977185997851884,500.58393681382154,6.787505638331061e-05,4.1961669921875e-05,2.53000303551687e-06,0.9021640203997783,0.43488786417744574,0.03728571534156799,0.3708173632621765,-0.3220237195491791,0.0,0.23999999463558197,-0.23999999463558197,1.0,0.3684976100921631,5.910965442657471,2.4584999084472656,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
zero_shot,Town05,mixed,16,4,0.2,-44.198753356933594,-39.6108283996582,0.02137424424290657,-90.33757781982422,0.0002788276677441582,500.58399775801377,5.570044461762738e-05,6.103515625e-05,1.4647385988553197e-06,0.7768617441728071,0.43638277596235886,0.05758744478225708,0.5721080899238586,0.28308919072151184,0.0,0.3199999928474426,-0.1599999964237213,0.9966683983802795,0.3509669899940491,1.574277400970459,1.9627354145050049,0.6625235|0.3374765|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6625235080718994,,0,0,0,0,0,
zero_shot,Town05,mixed,16,5,0.25,-44.198753356933594,-39.61076736450195,0.030917396768927574,-90.33757781982422,0.00021779357379897332,500.58405879210767,4.350787349624137e-05,6.103515625e-05,1.4647385988553197e-06,0.619682819025623,0.4364718766328315,0.07167783379554749,0.3329933285713196,-0.044117916375398636,0.0,0.3329933285713196,-0.07999999821186066,0.9960446357727051,0.3567869961261749,1.5253888368606567,2.260453462600708,0.5715822|0.2992791|0.1291387|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5715821981430054,,0,0,0,0,0,
zero_shot,Town05,mixed,16,6,0.3,-44.19875717163086,-39.6107177734375,0.03831680119037628,-90.33759307861328,0.00016822583334430495,500.58410835984813,3.360589639205556e-05,6.4849853515625e-05,1.7310547093529751e-06,0.47171624089247594,0.439705445764153,0.049948692321777344,0.36946651339530945,-0.427444726228714,0.0,0.36946651339530945,-0.1599999964237213,0.9637949466705322,0.3565007746219635,0.9639188051223755,2.543412208557129,0.5785044|0.2962635|0.1252321|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5785044431686401,,0,0,0,0,0,
zero_shot,Town05,mixed,16,7,0.35,-44.19876480102539,-39.61067581176758,0.04384414479136467,-90.33759307861328,0.0001263098664402701,500.58415027581503,2.5232487784432144e-05,7.2479248046875e-05,1.7310547093529751e-06,0.34790126258820586,0.4360898347250681,0.07652074098587036,0.41863954067230225,-0.015957755967974663,0.0,0.41863954067230225,-0.07999999821186066,0.9999861717224121,0.37717849016189575,2.920433759689331,2.179819107055664,0.6716034|0.3283966|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6716033816337585,,0,0,0,0,0,
zero_shot,Town05,mixed,16,8,0.4,-44.19876480102539,-39.61064147949219,0.04786636307835579,-90.33758544921875,9.197817404419188e-05,500.58418460750744,1.8374163621667133e-05,7.2479248046875e-05,1.5978966541041473e-06,0.25079048647879554,0.43699622294310314,0.07045787572860718,0.3136904835700989,-0.2935132086277008,0.0,0.3386395275592804,-0.1599999964237213,0.9909765124320984,0.356503427028656,1.3182122707366943,2.497859477996826,0.5778828|0.2974233|0.1246939|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5778828263282776,613.6298945435644,0,0,0,0,0,
zero_shot,Town05,mixed,16,9,0.45,-44.19875717163086,-39.61061477661133,0.05073699727654457,-90.33758544921875,6.523080708776146e-05,500.5842113548744,1.3030934078209378e-05,6.4849853515625e-05,1.5978966541041473e-06,0.17767590475749784,0.43613946565129974,0.06421095132827759,0.37876182794570923,-0.06057320162653923,0.0,0.37876182794570923,-0.07999999821186066,0.9996044039726257,0.3684987425804138,2.090151071548462,2.283003807067871,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,449.0852044384269,0,0,0,0,0,
zero_shot,Town05,mixed,16,10,0.5,-44.19874954223633,-39.610595703125,0.05275535583496094,-90.33758544921875,4.611270187447914e-05,500.58423047297964,9.211775924924871e-06,5.7220458984375e-05,1.5978966541041473e-06,0.12417997276096225,0.4600413757981449,0.04747384786605835,0.33918362855911255,-0.4373113512992859,0.0,0.33918362855911255,-0.1599999964237213,0.760657012462616,0.3949304521083832,0.39414089918136597,2.494398832321167,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,351.79187864923995,0,0,0,0,0,
zero_shot,Town05,mixed,16,11,0.55,-44.19876480102539,-39.61058044433594,0.054157715290784836,-90.33758544921875,3.0944080099007065e-05,500.5842456416014,6.181592500281136e-06,7.2479248046875e-05,1.5978966541041473e-06,0.08584818867171842,0.4361682785770494,0.06216830015182495,0.34724438190460205,-0.029275858774781227,0.0,0.34724438190460205,-0.07999999821186066,0.9994076490402222,0.36849889159202576,1.9892280101776123,2.3090081214904785,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,140.60851331965375,0,0,0,0,0,
zero_shot,Town05,mixed,16,12,0.6,-44.198768615722656,-39.61056900024414,0.05512271821498871,-90.33758544921875,1.952266291199095e-05,500.5842570630186,3.899975253946953e-06,7.62939453125e-05,1.5978966541041473e-06,0.058810197934954,0.44720958877627204,0.051886528730392456,0.4099650979042053,-0.3451850712299347,0.0,0.4099650979042053,-0.1599999964237213,0.8890653252601624,0.35660356283187866,0.6637037396430969,2.5302467346191406,0.5791962|0.2916641|0.1291397|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5791961550712585,94.1579336567071,0,0,0,0,0,
zero_shot,Town05,mixed,16,13,0.65,-44.19877243041992,-39.61056137084961,0.05578136444091797,-90.33758544921875,1.1915876596548884e-05,500.5842646698049,2.380393702699395e-06,8.0108642578125e-05,1.5978966541041473e-06,0.03997949241574982,0.43612493098734056,0.08581492304801941,0.38387641310691833,0.09419669210910797,0.0,0.38387641310691833,-0.07999999821186066,0.9999998807907104,0.368540495634079,4.100457191467285,2.0471153259277344,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,75.86074395743114,0,0,0,0,0,
zero_shot,Town05,mixed,16,14,0.7,-44.19878005981445,-39.610557556152344,0.05622779577970505,-90.33758544921875,8.146196580386903e-06,500.5842684394849,1.627337685464153e-06,8.7738037109375e-05,1.5978966541041473e-06,0.027007776969321304,0.4413221090717715,0.057151854038238525,0.3272731900215149,-0.3785570561885834,0.0,0.3272731900215149,-0.1599999964237213,0.9481239318847656,0.37664735317230225,0.8497596979141235,2.546842575073242,0.6944444|0.3055557|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6944443583488464,64.80647988215404,0,0,0,0,0,
zero_shot,Town05,mixed,16,15,0.75,-44.19878387451172,-39.61055374145508,0.05652870237827301,-90.33758544921875,4.354041136518888e-06,500.58427223164034,8.697918293032196e-07,9.1552734375e-05,1.5978966541041473e-06,0.01813617776618381,0.44349088316338225,0.048776715993881226,0.3411661386489868,-0.1427033692598343,0.0,0.3411661386489868,-0.1427033692598343,0.9997417330741882,0.39478370547294617,2.1705503463745117,2.2642745971679688,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,57.320058939847755,0,0,0,0,0,
zero_shot,Town05,mixed,16,16,0.8,-44.198787689208984,-39.61054992675781,0.056730497628450394,-90.33758544921875,5.618856926508712e-07,500.5842760237958,1.122459731422861e-07,9.5367431640625e-05,1.5978966541041473e-06,0.012124344901594251,0.436239293791989,0.056087762117385864,0.300891250371933,-0.009713527746498585,0.0,0.300891250371933,-0.06270337104797363,0.9991577863693237,0.3510696291923523,1.9185758829116821,2.3822226524353027,0.6713176|0.3286824|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6713175773620605,49.23256068672134,0,0,0,0,0,
zero_shot,Town05,mixed,16,17,0.85,-44.198787689208984,-39.61054611206055,0.05686519667506218,-90.33758544921875,0.0,500.5842765856815,0.0,9.544369822833687e-05,1.5978966541041473e-06,0.008067606011709444,0.4407435535768767,0.033214420080184937,0.398506224155426,-0.4815601706504822,0.0,0.38089126348495483,-0.1427033692598343,0.9542669653892517,0.37750667333602905,0.8820244073867798,2.621124029159546,0.6690872|0.3309128|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6690871715545654,41.69709066036445,0,0,0,0,0,
zero_shot,Town05,mixed,16,18,0.9,-44.198787689208984,-39.61054611206055,0.056954801082611084,-90.33758544921875,0.0,500.5842765856815,0.0,9.544369822833687e-05,1.5978966541041473e-06,0.005352532678341136,0.436186617415968,0.07061713933944702,0.33125051856040955,0.03145446255803108,0.0,0.33125051856040955,-0.06270337104797363,0.9999864101409912,0.35769397020339966,2.9444127082824707,2.2574994564056396,0.5642012|0.2965944|0.1392045|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5642011761665344,36.97357554107319,0,0,0,0,0,
