protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
cross_town,Town02,mixed,15,0,0.0,193.68223571777344,160.58628845214844,0.0,-89.92216491699219
cross_town,Town02,mixed,15,1,2.000001844250678,193.68495178222656,158.58628845214844,0.0,-89.92216491699219
cross_town,Town02,mixed,15,2,4.000003688501356,193.6876678466797,156.58628845214844,0.0,-89.92216491699219
cross_town,Town02,mixed,15,3,5.999990273977042,193.6903839111328,154.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,4,7.99999211822772,193.69309997558594,152.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,5,9.999993962478397,193.69581604003906,150.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,6,11.999995806729075,193.6985321044922,148.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,7,13.999997650979752,193.7012481689453,146.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,8,15.999999516010547,193.7039794921875,144.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,9,18.000001360261226,193.70669555664062,142.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,10,20.000003204511906,193.70941162109375,140.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,11,22.000005048762585,193.71212768554688,138.5863037109375,0.0,-89.92216491699219
cross_town,Town02,mixed,15,12,23.99999163423827,193.71484375,136.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,13,25.99999347848895,193.71755981445312,134.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,14,27.99999532273963,193.72027587890625,132.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,15,29.99999716699031,193.72299194335938,130.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,16,31.999999011240988,193.7257080078125,128.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,17,34.00000085549166,193.72842407226562,126.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,18,36.00000269974234,193.73114013671875,124.58631896972656,0.0,-89.92216491699219
cross_town,Town02,mixed,15,19,37.99999691460552,193.73385620117188,122.5863265991211,0.0,-89.92216491699219
cross_town,Town02,mixed,15,20,39.999998758856194,193.736572265625,120.5863265991211,0.0,-89.92216491699219
cross_town,Town02,mixed,15,21,41.99999297371937,193.73928833007812,118.58633422851562,0.0,-89.92216491699219
cross_town,Town02,mixed,15,22,44.17527579460441,193.69630432128906,116.4114761352539,0.0,265.04339599609375
cross_town,Town02,mixed,15,23,46.57481213949142,193.24923706054688,114.053955078125,0.0,253.48077392578125
cross_town,Town02,mixed,15,24,48.97435151913413,192.3386993408203,111.8338851928711,0.0,241.91815185546875
cross_town,Town02,mixed,15,25,51.373885617643516,191.00164794921875,109.84138488769531,0.0,230.35552978515625
cross_town,Town02,mixed,15,26,53.76641962954478,189.29901123046875,108.16053771972656,0.0,218.99822998046875
cross_town,Town02,mixed,15,27,56.15105484896505,187.3090057373047,106.84662628173828,0.0,207.8714599609375
cross_town,Town02,mixed,15,28,58.535707891069904,185.1028289794922,105.94144439697266,0.0,196.7446746826172
cross_town,Town02,mixed,15,29,60.920358144705936,182.76344299316406,105.4790267944336,0.0,185.61788940429688
cross_town,Town02,mixed,15,30,63.11664546109923,180.56793212890625,105.4206314086914,0.0,179.96107482910156
cross_town,Town02,mixed,15,31,65.11664592216206,178.56793212890625,105.42198944091797,0.0,179.96107482910156
cross_town,Town02,mixed,15,32,67.11664638322489,176.56793212890625,105.42334747314453,0.0,179.96107482910156
cross_town,Town02,mixed,15,33,69.11664684428771,174.56793212890625,105.4247055053711,0.0,179.96107482910156
