protocol,town,weather,episode,t,sim_time_s,ego_x,ego_y,ego_z,ego_yaw_deg,route_s_m,route_remaining_m,route_completion_pct,cte_m,route_heading_rad,speed_kmh,reward,command_throttle,command_brake,command_steer,applied_throttle,applied_brake,applied_steer,sigma_bar,sigma_ale,sigma_epi,policy_entropy_proxy,attention,top_attention_index,top_attention_value,ttc_s,collision,off_route,timeout,red_light_violation,intervention,terminal_reason
extended,Town01,night_rain_fog,3,1,0.05,283.02203369140625,199.1556396484375,-0.07005561888217926,0.004656380973756313,0.0,499.0495596246876,0.0,3.0517578125e-05,9.728405192532819e-09,0.5267195530990009,0.4712480743269982,0.15406924486160278,0.5707914233207703,0.30288779735565186,0.0,0.07999999821186066,0.07999999821186066,0.588744044303894,0.3628707826137543,0.22682318091392517,2.52764630317688,0.9158322|0.0841678|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.9158322215080261,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,2,0.1,283.02203369140625,199.1556396484375,-0.059184491634368896,0.004656897392123938,0.0,499.0495596246876,0.0,3.0517578125e-05,1.874160604486974e-08,0.8877737939488354,0.45004313064078005,0.12819364666938782,0.6742568016052246,0.35125458240509033,0.0,0.1599999964237213,0.1599999964237213,0.8007863163948059,0.3552839457988739,0.4925200343132019,2.3537769317626953,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,3,0.15,283.02203369140625,199.1556396484375,-0.04645400866866112,0.004656826611608267,0.0,499.0495596246876,0.0,3.0517578125e-05,1.7506252891763552e-08,0.9072144998312914,0.43043627262748807,0.12274402379989624,0.3159496784210205,0.08066491037607193,0.0,0.23999999463558197,0.08066491037607193,0.9981340765953064,0.800000011920929,1.270529866218567,1.9648655652999878,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,4,0.2,283.02203369140625,199.1556396484375,-0.03475482761859894,0.004656508099287748,0.0,499.0495596246876,0.0,3.0517578125e-05,1.1947164146874911e-08,0.7891012261431591,0.484122102063748,0.18885859847068787,0.48739153146743774,0.4360887408256531,0.0,0.3199999928474426,0.16066491603851318,0.4600059688091278,0.3552839457988739,0.10463641583919525,2.6518142223358154,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,5,0.25,283.02203369140625,199.1556396484375,-0.02508499100804329,0.004656337201595306,0.0,499.0495596246876,0.0,3.0517578125e-05,8.964436748470916e-09,0.6330636096663596,0.472663547383543,0.2641667127609253,0.262131005525589,-0.48769235610961914,0.0,0.23999999463558197,0.08066491782665253,0.5745916366577148,0.44542360305786133,0.12972888350486755,2.9914047718048096,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,6,0.3,283.02203369140625,199.1556396484375,-0.017556991428136826,0.004656325560063124,0.0,499.0495596246876,0.0,3.0517578125e-05,8.761253944555847e-09,0.4836958959005296,0.44859243801628645,0.09190937876701355,0.3745277523994446,-0.2595522999763489,0.0,0.3199999928474426,0.0006649178103543818,0.8153027296066284,0.44542360305786133,0.42578673362731934,2.859650135040283,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,7,0.35,283.02203369140625,199.1556396484375,-0.011918296106159687,0.004656325560063124,0.0,499.0495596246876,0.0,3.0517578125e-05,8.761253944555847e-09,0.35766149547200315,0.4433444335192072,0.0594707727432251,0.4587116539478302,0.2824755609035492,0.0,0.4000000059604645,0.08066491782665253,0.8677827715873718,0.800000011920929,0.17037370800971985,2.0810885429382324,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,8,0.4,283.02203369140625,199.1556396484375,-0.007807273883372545,0.0046560862101614475,0.0,499.0495596246876,0.0,3.0517578125e-05,4.583809776192993e-09,0.2583189910083494,0.4630232115879838,0.20481160283088684,0.4343224763870239,0.43426209688186646,0.0,0.4343224763870239,0.16066491603851318,0.6709949970245361,0.3552839457988739,0.3228883147239685,2.472360849380493,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,9,0.45,283.02203369140625,199.1556396484375,-0.004869231954216957,0.0046560862101614475,0.0,499.0495596246876,0.0,3.0517578125e-05,4.583809776192993e-09,0.18328941074442892,0.4311873932340317,0.2648357152938843,0.25513118505477905,-0.5768759250640869,0.0,0.3543224632740021,0.08066491782665253,0.9893531799316406,0.44542360305786133,1.1875250339508057,2.8597252368927,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town01,night_rain_fog,3,10,0.5,283.02203369140625,199.1556396484375,-0.0028016280848532915,0.0046560862101614475,0.0,499.0495596246876,0.0,3.0517578125e-05,4.583809776192993e-09,0.12825631530332163,0.48962030740344176,0.20027029514312744,0.38463255763053894,0.37435299158096313,0.0,0.38463255763053894,0.16066491603851318,0.40496525168418884,0.36318764090538025,0.04060770943760872,2.8609344959259033,0.9123169|0.0876831|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.9123169183731079,100.8911817806904,0,0,0,0,0,
