protocol,town,weather,episode,t,sim_time_s,ego_x,ego_y,ego_z,ego_yaw_deg,route_s_m,route_remaining_m,route_completion_pct,cte_m,route_heading_rad,speed_kmh,reward,command_throttle,command_brake,command_steer,applied_throttle,applied_brake,applied_steer,sigma_bar,sigma_ale,sigma_epi,policy_entropy_proxy,attention,top_attention_index,top_attention_value,ttc_s,collision,off_route,timeout,red_light_violation,intervention,terminal_reason
extended,Town04,night_rain_fog,19,1,0.05,-25.373220443725586,-245.36851501464844,-0.06942420452833176,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.45997357964542157,0.42770865066476144,0.020291417837142944,0.9141333699226379,0.5206578373908997,0.0,0.07999999821186066,0.07999999821186066,0.9985148310661316,0.800000011920929,1.3276879787445068,1.4363479614257812,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,2,0.1,-25.373220443725586,-245.36851501464844,-0.05914066359400749,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.858295834064629,0.4275601334311483,0.0979456901550293,0.930779218673706,-0.174917072057724,0.0,0.1599999964237213,-1.7881393032936899e-09,1.0,0.3526628017425537,32.21792221069336,1.617552638053894,0.4024650|0.3017410|0.2957940|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.4024650454521179,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,3,0.15,-25.373220443725586,-245.36851501464844,-0.04664855822920799,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.8965329229832556,0.42809487876144897,0.12518149614334106,0.8170195817947388,0.07716462016105652,0.0,0.23999999463558197,0.07716462016105652,1.0,0.3509766459465027,40.13282012939453,1.6258299350738525,0.5806311|0.4193690|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5806310772895813,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,4,0.2,-25.373220443725586,-245.36851501464844,-0.03501667082309723,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.7873191654684739,0.427560133403386,0.1374388337135315,0.8205491304397583,-0.04910771921277046,0.0,0.3199999928474426,-0.0028353799134492874,1.0,0.3526626229286194,30.252300262451172,1.7563421726226807,0.4034873|0.2948579|0.3016548|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.40348726511001587,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,5,0.25,-25.373220443725586,-245.36851501464844,-0.025337066501379013,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.6350453317165404,0.42756013340734683,0.1593550443649292,0.5115956664085388,0.12419559806585312,0.0,0.4000000059604645,0.07716462016105652,1.0,0.3582857549190521,20.052112579345703,1.733683466911316,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,6,0.3,-25.373220443725586,-245.36851501464844,-0.01777030900120735,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.48687726259247305,0.4334705541416342,0.18101602792739868,0.7428733706474304,0.11556578427553177,0.0,0.48000001907348633,0.11556578427553177,1.0,0.35273146629333496,6.180972099304199,1.774949312210083,0.3939406|0.3237157|0.2823437|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.39394059777259827,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,7,0.35,-25.373220443725586,-245.36851501464844,-0.012086715549230576,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.3608873337513087,0.43420811328884684,0.23982468247413635,0.7534478902816772,0.08623906970024109,0.0,0.5600000023841858,0.08623906970024109,0.9999995231628418,0.3564471900463104,3.784882068634033,1.919600486755371,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,8,0.4,-25.373220443725586,-245.36851501464844,-0.0079345703125,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.2611104190349811,0.4346705221278631,0.24821466207504272,0.7183994054794312,0.10802613198757172,0.0,0.6399999856948853,0.10802613198757172,1.0,0.35136139392852783,4.9998579025268555,1.840647578239441,0.5500660|0.4499340|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5500659942626953,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,9,0.45,-25.373220443725586,-245.36851501464844,-0.00496269203722477,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.18552189320446025,0.4275601330158585,0.384982168674469,0.6709895133972168,-0.0025067024398595095,0.0,0.6709895133972168,0.02802613191306591,1.0,0.3530127704143524,7.9752678871154785,1.851302146911621,0.3746164|0.3030654|0.3223183|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.374616414308548,,0,0,0,0,0,
extended,Town04,night_rain_fog,19,10,0.5,-25.373220443725586,-245.36851501464844,-0.002868766663596034,122.22510528564453,0.04128352188375382,500.99481818097706,0.008239630187015342,0.00025878861197270453,0.025531592212534985,0.12995946407318432,0.42756013341077415,0.41617780923843384,0.637366771697998,0.12101216614246368,0.0,0.637366771697998,0.10802613198757172,1.0,0.3582857549190521,13.398747444152832,1.671290636062622,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,226.8872233292982,0,0,0,0,0,
