protocol,town,weather,episode,route_point_index,route_s_m,x,y,z,yaw_deg
extended,Town01,night_rain_fog,2,0,0.0,-2.0391287803649902,33.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,1,2.000000148444082,-2.0398993492126465,35.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,2,4.000000296796319,-2.0406696796417236,37.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,3,6.000000445148556,-2.041440010070801,39.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,4,8.000000593592638,-2.042210578918457,41.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,5,10.000000741944875,-2.042980909347534,43.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,6,12.000000890388957,-2.0437514781951904,45.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,7,14.000001038741194,-2.0445218086242676,47.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,8,16.00000118709343,-2.0452921390533447,49.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,9,18.00000133553751,-2.046062707901001,51.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,10,20.000001483889747,-2.046833038330078,53.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,11,22.000001632241982,-2.0476033687591553,55.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,12,24.000001780686063,-2.0483739376068115,57.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,13,26.000001929038298,-2.0491442680358887,59.65811538696289,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,14,27.999998262693552,-2.049914598464966,61.658111572265625,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,15,29.999998411137632,-2.050685167312622,63.658111572265625,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,16,31.999998559489867,-2.051455497741699,65.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,17,33.99999870793395,-2.0522260665893555,67.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,18,35.99999885628618,-2.0529963970184326,69.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,19,37.99999900463842,-2.0537667274475098,71.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,20,39.9999991530825,-2.054537296295166,73.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,21,41.999999301434734,-2.055307626724243,75.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,22,43.99999944978697,-2.0560779571533203,77.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,23,45.99999959823105,-2.0568485260009766,79.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,24,47.999999746583285,-2.0576188564300537,81.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,25,49.99999989493552,-2.058389186859131,83.65811157226562,0.0,90.02206420898438
extended,Town01,night_rain_fog,2,26,52.0000000433796,-2.059159755706787,85.65811157226562,0.0,90.02206420898438
