protocol,town,weather,episode,seed,checkpoint_role,checkpoint_training_steps,calibrator_fitted,requested_npc,spawned_npc,requested_walkers,spawned_walkers,spawn_index,goal_index,route_length_m,steps,total_reward,success,terminal_reason,route_completion_pct,distance_km,collision,collision_type,off_route,timeout,stuck,red_light_events,intervention_rate,mean_cte_m,mean_abs_route_heading_rad,mean_speed_kmh,min_ttc_s,ttc_observed,mean_sigma_bar,mean_sigma_ale,mean_sigma_epi,mean_policy_entropy_proxy,local_infraction_score,local_driving_score,official_leaderboard_score,server_error
extended,Town01,night_rain_fog,1,43,source,497953,0,20,20,0,0,83,-1,500.20908147067746,4068,712.8820267847087,1,goal,98.41829761460997,0.49298094630727984,0,none,0,0,0,0,0.5730088495575221,0.0800107655696014,0.059878026423268754,8.735464669201809,0.6324452787763927,1,0.8863949147414786,0.4809813376556397,12.286531897423941,1.8798357242298924,1.0,98.41829761460997,0,0
extended,Town01,night_rain_fog,2,44,source,497953,0,20,20,0,0,213,-1,499.1100294507579,2995,105.15238791084654,1,goal,98.41991247696936,0.4916391149026944,0,none,0,0,0,0,0.3989983305509182,0.08230375423696806,0.049859454113146864,11.828806162953416,0.33593194737518706,1,0.7168400361661322,0.3730105807765298,9.320588912587118,2.4439753148312957,1.0,98.41991247696936,0,0
extended,Town01,night_rain_fog,3,45,source,497953,0,20,20,0,0,165,-1,499.0495596246876,2897,192.24974906432192,1,goal,98.40585867603161,0.4914563764953299,0,none,0,0,0,0,0.4452882292026234,0.11329788654820186,0.11360702083439256,12.229346178694028,0.6305836430782328,1,0.8646512718850018,0.435567001700607,4.376484481005955,2.2821472866353307,1.0,98.40585867603161,0,0
extended,Town01,night_rain_fog,4,46,source,497953,0,20,20,0,0,160,-1,499.04949119753536,3533,153.15426689704705,1,goal,98.4148883495002,0.4914311015759988,0,none,0,0,0,0,0.5411831304840079,0.14120040246451374,0.20863990109152478,10.028087067287112,0.9906566749067148,1,0.8470811419064553,0.39652582511681184,2.748447620906168,2.5667247217335176,1.0,98.4148883495002,0,0
extended,Town01,night_rain_fog,5,47,source,497953,0,20,20,0,0,245,-1,500.1497268355797,3297,273.7331449608327,1,goal,98.41455404763431,0.4928836556109159,0,none,0,0,0,0,0.5040946314831665,0.11307645387594147,0.1334847360985975,10.779266485670542,0.9610464909524121,1,0.8324542585325342,0.40758431382185767,7.1295037182329875,2.3194985396217715,1.0,98.41455404763431,0,0
extended,Town01,night_rain_fog,6,48,source,497953,0,20,20,0,0,239,-1,499.31813867210826,3565,284.63477920728513,1,goal,98.43171755830063,0.4923506459605831,0,none,0,0,0,0,0.500140252454418,0.08348978024899736,0.0958836285730437,9.95636507595009,1.2332196901153585,1,0.7384576474675624,0.3311840995038542,5.707949984551023,2.4305270350664894,1.0,98.43171755830063,0,0
extended,Town01,night_rain_fog,7,49,source,497953,0,20,20,0,0,98,-1,499.87602893211937,3564,409.6093437820737,1,goal,98.40141232910867,0.4924164355973464,0,none,0,0,0,0,0.5308641975308642,0.09672498154806121,0.12670258621959346,9.96292344217454,0.6884009529442995,1,0.8716798638370971,0.4878790867248368,8.941343993525775,1.964268050276738,1.0,98.40141232910867,0,0
extended,Town01,night_rain_fog,8,50,source,497953,0,20,20,0,0,29,-1,499.10639374369555,2914,123.81586497992268,1,goal,98.44124451310306,0.4916391484784497,0,none,0,0,0,0,0.3894989704873027,0.06050562424009619,0.04161342165878073,12.157622159525047,0.6092967910320843,1,0.7029372111995824,0.3706036934049962,1.1666536449729423,2.5066595384537886,1.0,98.44124451310306,0,0
extended,Town01,night_rain_fog,9,51,source,497953,0,20,20,0,0,228,-1,500.20449222918865,2859,166.32104666665236,1,goal,98.41024239716972,0.4928414939314431,0,none,0,0,0,0,0.41133263378803775,0.11626990811834806,0.07979035206763879,12.42306448804039,1.8463666989525405,1,0.8464604818078761,0.534674487379974,2.458569276833498,1.9644235527444527,1.0,98.41024239716972,0,0
extended,Town01,night_rain_fog,10,52,source,497953,0,20,20,0,0,25,-1,499.67159583988615,3663,423.1488318795728,1,goal,98.43426560876355,0.4917398308043606,0,none,0,0,0,0,0.5015015015015015,0.1239955879263058,0.07423917095645453,9.676226419705555,0.6868724371961873,1,0.8518920200478989,0.4633162356597818,8.118083641626063,2.0253607507387277,1.0,98.43426560876355,0,0
extended,Town01,night_rain_fog,11,53,source,497953,0,20,20,0,0,220,-1,500.71235236426855,4619,292.05801888622034,1,goal,98.41377145912269,0.4928731896845652,0,none,0,0,0,2,0.6624810565057372,0.09151432857108525,0.12508377348267372,7.6970093456325435,0.6862461410802846,1,0.8314828397675906,0.35067635182953416,8.069932387675536,2.216872534431351,0.5555555555555556,54.67431747729038,0,0
extended,Town01,night_rain_fog,12,54,source,497953,0,20,20,0,0,197,-1,499.1072768392961,3270,237.47858712839223,1,goal,98.42869711388128,0.4915074172537955,0,none,0,0,0,0,0.41620795107033637,0.049919628760593644,0.03578852418546157,10.82979000884434,1.0019072677284875,1,0.6637082814896872,0.318837813021393,4.993977710752793,2.504225196860252,1.0,98.42869711388128,0,0
extended,Town01,night_rain_fog,13,55,source,497953,0,20,20,0,0,224,-1,500.2106938946899,2864,50.954990572409145,1,goal,98.41676935832105,0.4929857998942592,0,none,0,0,0,0,0.3729050279329609,0.08894408203020995,0.08457278702274462,12.40487929729829,0.7432416534296138,1,0.6572624736949385,0.3391818072667668,3.139708576006073,2.4620859091633194,1.0,98.41676935832105,0,0
extended,Town01,night_rain_fog,14,56,source,497953,0,20,20,0,0,151,-1,499.34217672294415,3463,383.50897385780263,1,goal,98.41202512356216,0.49104443582543217,0,none,0,0,0,0,0.5547213398787179,0.11033359934695418,0.12886406816210333,10.226016623564313,0.6569351462345102,1,0.825062566329522,0.37878806784495156,4.944746330546541,2.266911516997155,1.0,98.41202512356216,0,0
extended,Town01,night_rain_fog,15,57,source,497953,0,20,20,0,0,64,-1,499.04578401906866,3226,136.17001889767354,1,goal,98.4021980500004,0.4915058130227773,0,none,0,0,0,0,0.47427154370737756,0.08176249956928926,0.1025604350904296,10.982725466478028,0.2796176636660885,1,0.7325111108670971,0.3343545116867549,5.592675247252045,2.3442810269999934,1.0,98.4021980500004,0,0
extended,Town01,night_rain_fog,16,58,source,497953,0,20,20,0,0,38,-1,500.21378569641496,2624,43.20635885371097,1,goal,98.40493543690633,0.49273157901345116,0,none,0,0,0,0,0.33689024390243905,0.07572351319517688,0.07785824470547227,13.53144687260348,0.45739141580575654,1,0.7511642261794428,0.4396658438405522,6.82909915841686,2.2196118699204996,1.0,98.40493543690633,0,0
