protocol,town,weather,episode,t,sim_time_s,ego_x,ego_y,ego_z,ego_yaw_deg,route_s_m,route_remaining_m,route_completion_pct,cte_m,route_heading_rad,speed_kmh,reward,command_throttle,command_brake,command_steer,applied_throttle,applied_brake,applied_steer,sigma_bar,sigma_ale,sigma_epi,policy_entropy_proxy,attention,top_attention_index,top_attention_value,ttc_s,collision,off_route,timeout,red_light_violation,intervention,terminal_reason
extended,Town02,night_rain_fog,10,1,0.05,71.53004455566406,302.53778076171875,0.15079757571220398,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.46652514338501183,0.43582089853023476,0.09762957692146301,0.8687760233879089,0.1261458694934845,0.0,0.07999999821186066,0.07999999821186066,0.9665448665618896,0.2729215621948242,1.0679590702056885,1.24463951587677,0.8583736|0.1254235|0.0162030|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8583735823631287,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,2,0.1,71.53004455566406,302.53778076171875,0.161112442612648,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.8584067702294509,0.4418442014655437,0.1155027449131012,0.7469465136528015,0.09595491737127304,0.0,0.1599999964237213,0.09595491737127304,0.9800571203231812,0.2749057710170746,1.198778510093689,1.5266659259796143,0.8589576|0.1236444|0.0173979|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8589576482772827,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,3,0.15,71.53004455566406,302.53778076171875,0.17358195781707764,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.8940878748898832,0.4453555657859904,0.09880083799362183,0.7369343042373657,0.08065315335988998,0.0,0.23999999463558197,0.08065315335988998,0.9451884627342224,0.2900518476963043,0.9218190908432007,2.2710511684417725,0.8530787|0.1312139|0.0157075|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8530786633491516,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,4,0.2,71.53004455566406,302.53778076171875,0.18517298996448517,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.7842024385929692,0.4340097564254902,0.11207306385040283,0.8764405250549316,0.1541479080915451,0.0,0.3199999928474426,0.1541479080915451,0.9966385364532471,0.26656436920166016,1.6564362049102783,2.1586742401123047,0.8747054|0.1252945|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.87470543384552,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,5,0.25,71.53004455566406,302.53778076171875,0.19481013715267181,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.6320955455304694,0.4649097414076077,0.18376785516738892,0.47354656457901,0.34315168857574463,0.0,0.4000000059604645,0.23414790630340576,0.6756564378738403,0.36623138189315796,0.317238986492157,2.564586877822876,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,6,0.3,71.53004455566406,302.53778076171875,0.2023397833108902,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.48441102504736033,0.4805723000089475,0.23606738448143005,0.34263572096824646,0.24019576609134674,0.0,0.34263572096824646,0.24019576609134674,0.5953919291496277,0.3755089342594147,0.22106632590293884,2.736940860748291,0.8785498|0.1214502|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8785497546195984,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,7,0.35,71.53004455566406,302.53778076171875,0.20799346268177032,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.35894565582276655,0.4324753851972634,0.10779416561126709,0.9155738353729248,-0.10459432750940323,0.0,0.4226357340812683,0.16019576787948608,1.0,0.28520429134368896,14.806200981140137,2.851547956466675,0.8497562|0.1330266|0.0172172|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8497561812400818,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,8,0.4,71.53004455566406,302.53778076171875,0.21212267875671387,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.2596458524466827,0.43247538519683343,0.1600242257118225,0.9828120470046997,-0.12701566517353058,0.0,0.5026357173919678,0.08019576966762543,1.0,0.2597969174385071,9.542661666870117,1.5956497192382812,1.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,1.0,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,9,0.45,71.53004455566406,302.53778076171875,0.21507762372493744,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.18444942534086747,0.43247589744917064,0.1265845000743866,0.9753014445304871,-0.04374884068965912,0.0,0.5826357007026672,0.00019576966587919742,0.9999948740005493,0.2695777118206024,3.2747020721435547,1.2103674411773682,0.8585235|0.1259380|0.0155385|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.8585235476493835,,0,0,0,0,0,
extended,Town02,night_rain_fog,10,10,0.5,71.53004455566406,302.53778076171875,0.21715930104255676,-179.9805908203125,0.0,500.5107039234245,0.0,7.62939453125e-06,2.663161087212984e-07,0.12918566018346567,0.4325162676696535,0.11113819479942322,0.9457410573959351,0.20925259590148926,0.0,0.6626356840133667,0.08019576966762543,0.9995911717414856,0.2631855010986328,2.187255382537842,0.28693556785583496,0.9806028|0.0193972|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.9806028008460999,,0,0,0,0,0,
