protocol,town,weather,episode,t,sim_time_s,ego_x,ego_y,ego_z,ego_yaw_deg,route_s_m,route_remaining_m,route_completion_pct,cte_m,route_heading_rad,speed_kmh,reward,command_throttle,command_brake,command_steer,applied_throttle,applied_brake,applied_steer,sigma_bar,sigma_ale,sigma_epi,policy_entropy_proxy,attention,top_attention_index,top_attention_value,ttc_s,collision,off_route,timeout,red_light_violation,intervention,terminal_reason
cross_town,Town02,mixed,18,1,0.05,-7.449415683746338,208.91993713378906,0.15079757571220398,89.98705291748047,0.0,500.6872872837705,0.0,4.76837158203125e-07,2.663161087212984e-07,0.4665233731278354,0.4546252685376273,0.21499374508857727,0.7008473873138428,0.2157636135816574,0.0,0.07999999821186066,0.07999999821186066,0.6712677478790283,0.2362009882926941,0.4422801434993744,0.7120680809020996,0.5282753|0.3440022|0.0831027|0.0446199|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5282752513885498,,0,0,0,0,0,
cross_town,Town02,mixed,18,2,0.1,-7.449415683746338,208.91993713378906,0.161112442612648,89.98705291748047,0.0,500.6872872837705,0.0,4.76837158203125e-07,2.663161087212984e-07,0.8584078967571342,0.4299769299692669,0.1663305163383484,0.7393214106559753,0.5013864636421204,0.0,0.1599999964237213,0.1599999964237213,0.917751133441925,0.23785632848739624,0.86518794298172,0.9865128993988037,0.5217181|0.3057136|0.0903535|0.0822147|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5217181444168091,,0,0,0,0,0,
cross_town,Town02,mixed,18,3,0.15,-7.449415683746338,208.91993713378906,0.17358183860778809,89.98705291748047,0.0,500.6872872837705,0.0,4.76837158203125e-07,2.663161087212984e-07,0.8940892696380625,0.4613745170480148,0.15101784467697144,0.7964760065078735,0.395524799823761,0.0,0.23999999463558197,0.23999999463558197,0.6037752628326416,0.24167025089263916,0.36363479495048523,1.5136590003967285,0.4888909|0.3013324|0.0916280|0.0782897|0.0398589|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.48889094591140747,,0,0,0,0,0,
cross_town,Town02,mixed,18,4,0.2,-7.449415683746338,208.91993713378906,0.1851729154586792,89.98705291748047,0.0,500.6872872837705,0.0,4.76837158203125e-07,2.663161087212984e-07,0.7842065691947943,0.4574998694333419,0.4708794355392456,0.6690325140953064,0.34700483083724976,0.0,0.3199999928474426,0.3199999928474426,0.6425217390060425,0.25003018975257874,0.39655137062072754,1.3090612888336182,0.8903047|0.1096953|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.890304684638977,,0,0,0,0,0,
cross_town,Town02,mixed,18,5,0.25,-7.449415683746338,208.91993713378906,0.19481006264686584,89.98705291748047,0.0,500.6872872837705,0.0,4.76837158203125e-07,2.663161087212984e-07,0.6321011245258735,0.45459777888048575,0.34264007210731506,0.42342180013656616,0.09312369674444199,0.0,0.4000000059604645,0.23999999463558197,0.6715426445007324,0.24132303893566132,0.43746963143348694,1.7417129278182983,0.4893743|0.3057218|0.0831239|0.0859784|0.0358017|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.4893742799758911,,0,0,0,0,0,
cross_town,Town02,mixed,18,6,0.3,-7.44941520690918,208.91993713378906,0.20233973860740662,89.98705291748047,0.0,500.6872872837705,0.0,0.0,2.663161087212984e-07,0.48440807461749297,0.45753254838767904,0.31229814887046814,0.38883477449417114,0.23138116300106049,0.0,0.38883477449417114,0.23138116300106049,0.7181046009063721,0.2408328652381897,0.492936909198761,1.611947774887085,0.5036516|0.2958271|0.0840369|0.0756682|0.0408163|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5036515593528748,,0,0,0,0,0,
cross_town,Town02,mixed,18,7,0.35,-7.44941520690918,208.91993713378906,0.20799343287944794,89.98705291748047,0.0,500.6872872837705,0.0,0.0,2.663161087212984e-07,0.35894474387171194,0.49754316141989796,0.3604661226272583,0.44188374280929565,0.20161890983581543,0.0,0.44188374280929565,0.20161890983581543,0.30826038122177124,0.23861339688301086,0.059320397675037384,1.6085963249206543,0.5053384|0.3157055|0.0920399|0.0869162|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5053383708000183,,0,0,0,0,0,
cross_town,Town02,mixed,18,8,0.4,-7.44941520690918,208.91993713378906,0.21212264895439148,89.98705291748047,0.0,500.6872872837705,0.0,0.0,2.663161087212984e-07,0.25964351892518595,0.4691771250981266,0.3379935026168823,0.3734869062900543,0.2920985221862793,0.0,0.3734869062900543,0.2816189229488373,0.5257502198219299,0.241568922996521,0.2842041552066803,1.8676848411560059,0.4878269|0.3051825|0.0875212|0.0789399|0.0405295|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.4878268539905548,,0,0,0,0,0,
cross_town,Town02,mixed,18,9,0.45,-7.44941520690918,208.91993713378906,0.21507754921913147,89.98705291748047,0.0,500.6872872837705,0.0,0.0,2.663161087212984e-07,0.184447883069633,0.4923679153932914,0.4186311662197113,0.3692993223667145,0.15138182044029236,0.0,0.29348689317703247,0.20161892473697662,0.2938423454761505,0.2359331101179123,0.04486813023686409,1.643264889717102,0.5486566|0.3234116|0.0879425|0.0399895|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.5486565828323364,,0,0,0,0,0,
cross_town,Town02,mixed,18,10,0.5,-7.44941520690918,208.91993713378906,0.2171591967344284,89.98705291748047,0.0,500.6872872837705,0.0,0.0,2.663161087212984e-07,0.1291899517179903,0.46330068430929133,0.21482542157173157,0.23405271768569946,0.23846985399723053,0.0,0.23405271768569946,0.23846985399723053,0.6451022028923035,0.2642940878868103,0.38510069251060486,1.1574137210845947,0.6133168|0.1646513|0.1448375|0.0771945|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000|0.0000000,0,0.6133167743682861,,0,0,0,0,0,
